ThermalExpansionCoefficient_composition_average,ThermalConductivity_difference,NUnfilled_composition_average,CovalentRadius_arithmetic_average,phi_arithmetic_average,NsValence_difference,SecondIonizationEnergy_composition_average,NfUnfilled_composition_average,BCCvolume_padiff_arithmetic_average,SpaceGroupNumber_arithmetic_average,NdUnfilled_composition_average,IonicRadii_arithmetic_average,IonicRadii_composition_average,BoilingT_composition_average,BCCenergy_pa_composition_average,HeatCapacityMolar_composition_average,NsValence_min_value,BCCvolume_padiff_composition_average,ThirdIonizationEnergy_composition_average,BCCfermi_composition_average,HeatCapacityMolar_arithmetic_average,phi_composition_average,IonizationEnergy_composition_average,Polarizability_composition_average,Density_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,HeatVaporization_composition_average,HHIr_composition_average,HeatFusion_difference,IsHexagonal_composition_average,ICSDVolume_arithmetic_average,ShearModulus_composition_average,SpecificHeatCapacity_composition_average,HeatCapacityMass_composition_average,n_ws^third_composition_average,Density_composition_average,BCCmagmom_composition_average,FirstIonizationEnergy_composition_average,MendeleevNumber_composition_average,MendeleevNumber_arithmetic_average,AtomicVolume_arithmetic_average,valence_composition_average,ThermalConductivity_composition_average,Polarizability_arithmetic_average,BCCvolume_padiff_max_value,ElectronAffinity_arithmetic_average,ElectricalConductivity_composition_average,GSenergy_pa_composition_average,NdValence_composition_average,ElasticModulus_composition_average,AtomicRadii_arithmetic_average,IsBoron_composition_average,CovalentRadius_composition_average,HeatFusion_composition_average,ElectronAffinity_composition_average,NpValence_difference,Electronegativity_composition_average,MendeleevNumber_min_value,GSestBCClatcnt_arithmetic_average,Electronegativity_arithmetic_average,HHIp_composition_average,Electronegativity_difference,SecondIonizationEnergy_difference,IsPnictide_composition_average,target
10.14392,415.5,6.67,142.5,4.411666666666667,1.0,14.1226934,0.0,0.1829166666666666,214.66666666666669,5.83,0.8200000000000001,0.973786,3457.2955,-4.5939239413370005,26.183003,1.0,0.424938,24.41356,7.07467951063,25.33,3.68907,593.2414800000001,21.829572,7677.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
21.245,417.9,0.75,153.0,3.865,1.0,16.028200000000002,0.5,0.06333333325,209.5,0.0,0.9449999999999998,0.779,2017.125,-2.32001584475,25.1886,1.0,0.0308333333,63.44145,4.0794476715,25.89225,3.6735,721.895,11.106833333355,7341.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
10.2188,415.5,6.640000000000001,142.5,4.411666666666667,1.0,14.180686,0.0,0.1829166666666666,214.66666666666669,5.78,0.8200000000000001,0.97654,3454.605,-4.5391746708300005,26.16637,1.0,0.42257,24.456060000000004,7.0486861065,25.33,3.6747,593.1492,21.81268,7677.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
22.12,273.0,0.2,154.0,3.45,1.0,14.4276,0.0,-0.3633333333333333,214.66666666666669,0.0,0.9566666666666666,0.974,1813.8,-2.003085526,25.6012,1.0,-0.598,53.5394,3.365097182,25.382666666666665,3.09,647.62,18.99133333332,4592.666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
12.95,407.1,3.8,153.0,4.0125,1.0,17.7118,0.0,-0.10375,209.5,3.2,0.8324999999999999,0.835,3527.6,-5.307460018,24.96,1.0,-0.1405,31.3441,4.1280781300000005,25.0525,4.065,708.1600000000001,10.688,7607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
20.525,418.4,1.85,153.5,3.8625,1.0,16.29485,0.7,0.1124999999999999,209.5,0.9,0.9125,0.8394999999999999,1885.25,-2.1610949415,26.15985,1.0,0.0259999999999999,62.96395,4.025533175,27.92225,3.655,722.175,11.053833333355,7262.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
12.042,406.3,4.35,143.25,4.1125,1.0,17.031840000000003,0.0,-0.03125,217.25,3.6,0.815,0.7826,3823.55,-5.786539444700001,24.869300000000003,1.0,-0.17745,30.12285,4.4704169165,24.8375,3.9845,698.1479999999999,11.4952,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
11.85,406.3,4.64,143.25,4.1125,1.0,16.7877,0.0,-0.03125,217.25,3.84,0.815,0.7821,3859.85,-5.9314170694,24.8921,1.0,-0.1825,29.53999,4.5336029194,24.8375,3.9495,692.23,11.860699999999998,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
12.39,406.3,4.29,143.25,4.1125,1.0,17.1458,0.0,-0.03125,217.25,3.44,0.815,0.7766,3785.75,-5.6901976899,24.8461,1.0,-0.15975,30.23199,4.5411373719,24.8375,3.9995,696.5,11.2732,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
10.48913,406.3,5.7433000000000005,141.0,4.276000000000001,1.0,15.6792732,0.0,-0.025,219.6,5.0052,0.762,0.781594,4025.5478,-6.742460777156,25.029318,1.0,-0.226612,27.3337915,4.707241835075,24.89,3.84463,678.0059900000001,13.413825,7299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
16.994000000000003,428.765,0.61,126.8,4.9,0.0,19.38191,0.0,-2.860047619,180.8,0.0,0.5900000000000001,0.5965,3070.465,-4.937139033499999,25.2081,2.0,-0.95971190475,33.0227,5.8455016637,23.9168,5.317,809.467,4.9207,7117.200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
20.6552,411.8,1.3199999999999998,152.0,3.8625,1.0,16.501894,0.0,0.00875,209.5,0.99,0.905,0.77016,2192.015,-2.7167852267699995,24.94017,1.0,0.01123,59.22518,4.0781716267000006,25.29725,3.7492,726.3788,10.583553333352,6405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
10.36592,415.5,6.58,142.5,4.411666666666667,1.0,14.2953534,0.0,0.1829166666666666,214.66666666666669,5.68,0.8200000000000001,0.981586,3450.0655,-4.430691328737001,26.132103,1.0,0.4179879999999999,24.54326,6.99705787613,25.33,3.64607,592.9804800000001,21.777972,7677.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
20.93878,273.0,0.4615,148.5,3.7,1.0,16.8561673,0.0,-0.27,217.25,0.0,0.8999999999999999,0.940005,2096.6188,-2.3395865407539995,25.2771855,1.0,-0.333086,50.543041,3.754560095129,25.147,3.6038,691.31384,13.499786333330768,5674.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
21.57705,273.0,0.3846,148.5,3.7,1.0,16.451904,0.0,-0.27,217.25,0.0,0.8999999999999999,0.9392359999999998,1955.3535,-2.175849795749,25.3101756,1.0,-0.334624,53.8738107,3.732083432459,25.147,3.5268999999999995,690.72171,13.854807999999998,5674.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
21.9544,273.0,0.384,154.0,3.45,1.0,16.779671999999998,0.0,-0.3633333333333333,214.66666666666669,0.0,0.9566666666666666,0.95008,1866.056,-2.07284573672,25.299624,1.0,-0.27416,55.960288,3.79719690504,25.382666666666665,3.5868,700.8144,12.7886933333384,4592.666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
21.31559,273.0,0.4615,148.5,3.7,1.0,17.1916051,0.0,-0.27,217.25,0.0,0.8999999999999999,0.950771,2007.4917,-2.236809960673,25.2656505,1.0,-0.271566,52.6374125,3.821082588546,25.147,3.66532,701.57999,12.41344566666923,5674.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
21.1194,273.0,0.462,148.5,3.7,1.0,16.950452,0.0,-0.27,217.25,0.0,0.8999999999999999,0.97256,2038.521,-2.26943442859,25.347632,1.0,-0.34418,50.358014,3.7291506814599993,25.147,3.5962999999999994,690.1602,13.5668999999974,5674.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
10.514,415.5,6.52,151.25,4.0425,1.0,14.4105,0.0,0.223125,217.25,5.58,0.895,0.9868,3445.2200000000003,-4.3218388234,26.0982,1.0,0.41335,24.62966,6.9452992538,25.275,3.6174,592.806,21.7436,7064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
12.0,406.3,4.3100000000000005,143.25,4.1125,1.0,17.05846,0.0,-0.03125,217.25,3.6,0.815,0.7887,3819.98,-5.7772373651,24.8808,1.0,-0.1831499999999999,30.18668,4.4333037803,24.8375,3.986,699.682,11.4971,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
12.108,406.3,4.24,143.25,4.1125,1.0,17.13008,0.0,-0.03125,217.25,3.52,0.815,0.7876,3805.16,-5.7289934892000005,24.8716,1.0,-0.1786,30.32508,4.4348106708,24.8375,3.996,700.536,11.3796,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
12.216,406.3,4.17,143.25,4.1125,1.0,17.201700000000002,0.0,-0.03125,217.25,3.44,0.815,0.7865,3790.34,-5.6807496133,24.8624,1.0,-0.17405,30.46348,4.4363175613,24.8375,4.006,701.39,11.2621,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
