ThermalExpansionCoefficient_arithmetic_average,BCCenergy_pa_arithmetic_average,Density_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,AtomicRadii_arithmetic_average,ThirdIonizationEnergy_arithmetic_average,GSbandgap_composition_average,valence_arithmetic_average,ElasticModulus_composition_average,IsPnictide_composition_average,GSbandgap_arithmetic_average,BCCfermi_arithmetic_average,IonicRadii_composition_average,NValance_composition_average,NUnfilled_composition_average,NdUnfilled_arithmetic_average,HeatVaporization_composition_average,Polarizability_arithmetic_average,ThermalConductivity_composition_average,valence_composition_average,ICSDVolume_composition_average,ElectronAffinity_composition_average,ElectricalConductivity_composition_average,GSenergy_pa_arithmetic_average,SpaceGroupNumber_composition_average,BCCvolume_padiff_arithmetic_average,phi_arithmetic_average,BCCfermi_composition_average,HeatVaporization_arithmetic_average,NdValence_composition_average,HHIr_composition_average,ThermalExpansionCoefficient_composition_average,AtomicWeight_composition_average,CovalentRadii_arithmetic_average,Period_composition_average,Row_composition_average,HHIr_arithmetic_average,BCCenergy_pa_composition_average,AtomicNumber_composition_average,Number_composition_average,phi_composition_average,HeatFusion_arithmetic_average,BulkModulus_composition_average,IsMonoclinic_composition_average,BCCvolume_pa_arithmetic_average,MiracleRadius_composition_average,IsNonmetal_composition_average,BulkModulus_arithmetic_average,Density_arithmetic_average,IonicRadii_arithmetic_average,BCCvolume_pa_composition_average,n_ws^third_composition_average,IsSimpleCubic_difference,ElectronAffinity_difference,HeatCapacityMolar_arithmetic_average,ChemicalFamily_2,BCCvolume_padiff_composition_average,SecondIonizationEnergy_arithmetic_average,ThermalExpansionCoefficient_difference,ThermalConductivity_arithmetic_average,AtomicVolume_composition_average,ThirdIonizationEnergy_composition_average,IonizationEnergy_composition_average,n_ws^third_arithmetic_average,target
171.62,-4.579214542,2227.042364,27.576378,4.91502,1.5614,39.3118,0.0,2.6,22.88,0.0,0.0,3.622315804,1.14556,5.332,2.578,3.2,142.2504744,21.8074,29.873378400000004,2.064,22.447000000000003,94.9958,4.1376,-5.06582936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.88941029
209.375,-5.2431376125,2475.7055105105105,27.67662662662663,4.9769469469469465,1.39675,49.13975,0.0,2.75,25.74874874874875,0.0,0.0,4.1279845825,1.1526726726726726,5.63963963963964,3.1811811811811816,4.0,156.81597647647646,17.33425,26.4676006006006,2.1821821821821823,21.04074074074074,102.83693693693694,3.655055055055055,-5.851406135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.536107011
238.25,-2.4907170725000003,465.24227800000006,28.150895,4.9264,1.1375,61.794,0.637473,3.75,2.22,0.222,1.0295,3.8953327975,1.10141,5.3340000000000005,2.0000000000000004,0.0,22.1095604,7.73675,9.6035323,3.1100000000000003,19.431200000000004,139.7236,1.2987,-3.452905403125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.165859166
209.95,-4.195604755000001,1570.3574,27.8358,3.882,1.40125,56.0125,0.0,2.5,28.0,0.0,0.0,3.5129614325,1.154,4.8,3.8,4.25,141.75354,17.70925,14.36044,2.4000000000000004,19.800000000000004,99.64,1.88,-4.83236303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0
45.68,-2.635716646,2582.0289999999995,26.849256000000004,8.395717999999999,1.386,51.0422,1.149634,4.199999999999999,29.542,0.0,0.7294,4.163185296,0.66463,7.401000000000001,2.0570000000000004,0.0,106.2525,9.244,32.82031,4.401,25.6774,155.72675999999998,3.06990047400107,-3.02016017875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.536107011
81.0,-3.18378671,1345.69,23.72738,4.025454,1.3666666666666667,62.487,1.214373,4.0,13.741,0.105,1.2756666666666665,6.020223276666666,0.4752699999999999,3.79,1.684,0.0,67.97109999999999,10.288333333333332,35.810881,3.79,23.2599,127.70337999999998,4.9257,-3.78920422375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.950781977
81.0,-3.18378671,1237.773,23.859804,3.554649,1.3666666666666667,62.487,1.060033,4.0,13.506,0.071,1.2756666666666665,6.020223276666666,0.51648,3.429,1.571,0.0,78.7204,10.288333333333332,42.482086,3.429,23.1672,120.97088,5.85,-3.78920422375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.677780705
238.25,-2.4907170725000003,433.689408,27.507027,4.00136,1.1375,61.794,0.404059,3.75,3.67,0.152,1.0295,3.8953327975,1.05263,4.456,1.7979999999999998,0.0,47.0184846,7.73675,24.8160763,2.4799999999999995,19.5316,119.978,3.4047,-3.452905403125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.610833916
196.94,-4.063955566,809.0278619999999,27.7561,4.94289,1.2876,52.7006,0.274625,3.0,13.0035,0.169,0.325,4.821768334000001,1.07607,5.388000000000001,2.756,1.6,56.054990200000006,10.0334,9.7404122,2.676,17.759300000000003,112.8601,1.3585000000000005,-4.7095676195000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.230622674
172.2,-4.1784824700000005,1533.7629379999998,27.474516,4.36673,1.5472,53.0398,0.0,2.6,16.653,0.0,0.0,3.5376172720000003,1.13994,4.175,2.697,3.0,140.8615798,19.497400000000003,28.2444728,2.087,21.9047,94.74,4.0082,-4.666072026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.37675071
182.16,-3.607380744,1738.1621249999998,28.07737,3.9733,1.501,59.1382,0.0,2.2,29.445,0.0,0.0,3.073418982,1.18426,4.999,4.081,3.4000000000000004,145.6669725,18.9894,11.149525,2.499,20.4356,100.96,1.4461,-4.117938700666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.211124884
171.62,-4.579214542,2274.562938,27.595676,4.92499,1.5614,39.3118,0.0,2.6,23.44,0.0,0.0,3.622315804,1.14682,5.393,2.697,3.2,145.0837798,21.8074,29.2144828,2.087,22.153600000000004,96.596,4.0441,-5.06582936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.397940009
209.375,-5.2431376125,2220.06308,27.51936,4.6240000000000006,1.39675,49.13975,0.0,2.75,23.44,0.0,0.0,4.1279845825,1.1312,5.28,2.96,4.0,149.870068,17.33425,30.07504800000001,2.08,20.94,100.916,4.152,-5.851406135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.576754126
35.35,-3.031269895,1688.395604395604,23.80468931068931,5.450834165834164,1.4,55.55275,0.9902007992007992,3.5,23.05894105894106,0.0,0.64625,4.0806734875,0.5326873126873126,4.566433566433566,1.783216783216783,0.0,106.18593406593403,10.29875,44.88453046953046,3.477522477522477,23.38991008991009,125.46383616383612,5.38111914185814,-3.3988496190625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.187086643
196.94,-4.063955566,796.460282,27.652824000000003,4.91984,1.2876,52.7006,0.268125,3.0,12.894,0.165,0.325,4.821768334000001,1.06341,5.266,2.7,1.6,58.0356722,10.0334,15.9700242,2.6340000000000003,17.8151,111.5125,2.3309,-4.7095676195000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.083546051
172.54,-3.136014448,1725.8719590000003,27.869668000000004,3.5008000000000004,1.4582,50.5442,0.022272,3.4,12.47,0.048,0.0928,4.618846596,1.21131,5.962000000000001,3.0020000000000007,0.0,76.15566390000001,13.727399999999998,19.884385400000003,2.289,21.949700000000004,113.0553,2.5766096000000003,-3.729539000334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.060480747
688.25,-2.45906743,434.7493,27.2858,3.80375,1.07,67.568,0.34225,2.25,3.75,0.15,0.8987499999999999,2.9454137075,1.02,4.4,1.8,0.0,47.85894,7.330999999999999,25.580345,2.1,18.785,115.645,3.51,-3.43131220375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.356547324
146.76666666666668,-4.09566877,2256.4564815184817,27.568017982017984,4.933996003996005,1.6595,40.0265,0.0,2.5,23.47352647352648,0.0,0.0,3.303691421666666,1.1435764235764236,5.38961038961039,2.6943056943056947,2.666666666666667,145.00637342657345,22.431166666666662,28.876865934065936,2.0869130869130874,22.044755244755248,93.89810189810191,4.091208791208792,-4.5019934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.092588639
168.64,-5.887965064,1592.0216450000005,27.46759,3.70057,1.4374,43.9098,0.0,3.0,18.109,0.0,0.0,4.147997796,1.1382,4.197,3.0969999999999995,4.800000000000001,145.6487245,17.4474,28.203137,2.023,21.4937,98.8987,3.8215,-6.390316619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.04769199
49.54,-3.3307204660000003,1025.653787912088,24.30800899100899,6.280688311688312,1.08,45.0782,3.0825234765234764,3.2,39.977022977022976,0.0729270729270729,2.6408,6.308004481999999,0.7642057942057943,2.8771228771228774,1.7182817182817185,0.0,81.82032197802198,6.9123586,26.17658391608392,2.8771228771228774,24.54115884115884,102.61526473526472,3.331168831169186,-4.275320318084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.844663963
165.78333333333333,-4.415311498333333,803.380424,27.676464000000003,4.92248,1.340666666666667,48.04383333333334,0.2665,3.0,12.9925,0.164,0.2708333333333333,4.760107118333333,1.06792,5.247,2.7430000000000003,2.833333333333333,59.0656504,11.327833333333333,9.6231544,2.623,17.9757,110.8503,1.2775,-4.972225197916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.370590401
194.68,-4.991015012,859.0095785785786,27.70061861861862,4.9522522522522525,1.2497999999999998,53.1414,0.2683933933933934,3.6,14.377377377377377,0.1651651651651651,0.325,4.559252336,1.069019019019019,5.331331331331331,2.730730730730731,2.4000000000000004,59.794098998999,10.3534,8.43546186186186,2.6686686686686687,17.821221221221222,111.2082082082082,1.092992992992993,-5.6175798675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.282329497
